,yyyymmdd,traceid,count
359,19960114,MV.MRYT.--.SHZ,51
360,19960114,MV.MSSE.--.SHX,51
361,19960114,MV.MCPN.--.SHY,0
362,19960114,MV.MCPT.--.SHZ,0
363,19960114,MV.MSSN.--.SHY,51
364,19960114,MV.MGAT.--.SHZ,51
365,19960114,MV.MCPE.--.SHX,0
366,19960114,MV.MGT2.--.SHZ,0
367,19960114,MV.MHRE.--.SHZ,0
368,19960114,MV.MSPT.--.SHZ,51
369,19960114,MV.MGHZ.--.SHZ,51
370,19960114,MV.MHRN.--.SHX,0
371,19960114,MV.MWHT.--.SHZ,51
372,19960114,MV.MVPN.--.SHY,51
373,19960114,MV.MWH2.--.SHZ,0
374,19960114,MV.MLGL.--.SHZ,51
375,19960114,MV.MCHT.--.SHZ,0
376,19960114,MV.MHRV.--.SHZ,0
377,19960114,MV.MHRE.--.SHX,0
378,19960115,MV.MCPZ.--.SHZ,0
379,19960115,MV.MVPV.--.SHZ,72
380,19960115,MV.MVPE.--.SHX,72
381,19960115,MV.MHRV.--.SHY,0
382,19960115,MV.MBET.--.SHZ,72
383,19960115,MV.MSSZ.--.SHZ,72
384,19960115,MV.MHRN.--.SHY,0
385,19960115,MV.MLGT.--.SHZ,72
386,19960115,MV.MRYT.--.SHZ,72
387,19960115,MV.MSSE.--.SHX,72
388,19960115,MV.MCPN.--.SHY,0
389,19960115,MV.MCPT.--.SHZ,0
390,19960115,MV.MSSN.--.SHY,72
391,19960115,MV.MGAT.--.SHZ,72
392,19960115,MV.MCPE.--.SHX,0
393,19960115,MV.MGT2.--.SHZ,0
394,19960115,MV.MHRE.--.SHZ,0
395,19960115,MV.MSPT.--.SHZ,72
396,19960115,MV.MGHZ.--.SHZ,72
397,19960115,MV.MHRN.--.SHX,0
398,19960115,MV.MWHT.--.SHZ,72
399,19960115,MV.MVPN.--.SHY,72
400,19960115,MV.MWH2.--.SHZ,0
401,19960115,MV.MLGL.--.SHZ,72
402,19960115,MV.MCHT.--.SHZ,0
403,19960115,MV.MHRV.--.SHZ,0
404,19960115,MV.MHRE.--.SHX,0
405,19960116,MV.MCPZ.--.SHZ,0
406,19960116,MV.MVPV.--.SHZ,30
407,19960116,MV.MVPE.--.SHX,30
