date	MRYT
19980330	0.86
19980331	0.76
19980401	0.85
19980402	0.56
19980403	0.73
19980404	0.74
19980405	0.69
19980406	0.78
19980407	0.81
19980408	0.87
19980409	0.74
19980410	0.81
19980411	0.75
19980412	0.92
19980413	0.91
19980414	0.93
19980415	0.85
19980416	0.62
19980417	0.83
19980418	0.92
19980419	0.88
19980420	0.87
19980421	0.91
19980422	0.77
19980423	0.59
19980424	0.61
19980425	0.66
19980426	0.66
19980427	0.84
19980428	0.71
19980429	0.74
19980430	0.69
19980501	0.75
19980502	0.58
19980503	0.82
19980504	0.92
19980505	0.70
19980506	0.27
19980507	0.38
19980508	0.35
19980509	0.45
19980510	0.25
19980511	0.28
19980512	0.37
19980513	0.43
19980514	0.53
19980515	0.62
19980516	0.76
19980517	0.55
19980518	0.17
19980519	0.06
19980520	0.20
19980521	0.22
19980522	0.03
19980523	0.49
19980524	0.49
19980525	0.37
19980526	0.44
19980527	0.24
19980528	0.43
19980529	0.22
19980530	0.31
19980531	0.61
19980601	0.49
19980602	0.65
19980603	0.93
19980604	0.92
19980605	0.70
19980606	0.47
19980607	0.83
19980608	0.61
19980609	0.44
19980610	0.62
19980611	0.55
19980612	0.42
19980613	0.62
19980614	0.57
19980615	0.50
19980616	0.78
19980617	0.87
19980618	0.72
19980619	0.22
19980620	0.26
19980621	0.62
19980622	1.00
19980623	0.88
19980624	0.63
19980625	0.51
19980626	0.00
19980627	0.00
19980628	0.00
19980629	0.00
19980630	0.01
19980701	0.00
19980702	0.07
19980703	0.83
19980704	0.71
19980705	0.39
19980706	0.31
19980707	0.15
19980708	0.51
19980709	0.79
19980710	0.66
19980711	0.40
19980712	0.15
19980713	0.24
19980714	0.17
19980715	0.15
19980716	0.15
19980717	0.28
19980718	0.30
19980719	0.46
19980720	0.83
19980721	0.97
19980722	0.75
19980723	0.42
19980724	0.22
19980725	0.69
19980726	0.88
19980727	0.89
19980728	0.85
19980729	0.36
19980730	0.29
19980731	0.34
19980801	0.88
19980802	0.99
19980803	0.77
19980804	0.40
19980805	0.67
19980806	0.18
19980807	0.10
19980808	0.16
19980809	0.63
19980810	0.83
19980811	0.44
19980812	0.45
19980813	0.77
19980814	0.49
19980815	0.31
19980816	0.48
19980817	0.76
19980818	0.44
19980819	0.31
19980820	0.76
19980821	1.00
19980822	0.99
19980823	0.68
19980824	0.86
19980825	0.45
19980826	0.64
19980827	0.92
19980828	0.72
19980829	0.71
19980830	0.43
19980831	0.50
19980901	0.54
19980902	0.32
19980903	0.44
19980904	0.52
19980905	0.57
19980906	0.21
19980907	0.43
19980908	0.53
19980909	0.94
19980910	0.90
19980911	0.54
19980912	0.16
19980913	0.19
19980914	0.23
19980915	0.73
19980916	0.28
19980917	0.09
19980918	0.12
19980919	0.01
19980920	0.00
19980921	0.00
19980922	0.00
19980923	0.01
19980924	0.00
19980925	0.00
19980926	0.05
19980927	0.11
19980928	0.29
19980929	0.14
19980930	0.13
19981001	0.17
19981002	0.33
19981003	0.46
19981004	0.32
19981005	0.35
19981006	0.33
19981007	0.49
19981008	0.15
19981009	0.16
19981010	0.12
19981011	0.14
19981012	0.22
19981013	0.40
19981014	0.12
19981015	0.10
19981016	0.19
19981017	0.33
19981018	0.49
19981019	0.44
19981020	0.44
19981021	0.67
19981022	0.35
19981023	0.22
19981024	0.14
19981025	0.57
19981026	0.53
19981027	0.26
19981028	0.17
19981029	0.42
19981030	0.19
19981031	0.22
19981101	0.15
19981102	0.22
19981103	0.20
19981104	0.16
19981105	0.28
19981106	0.31
19981107	0.33
19981108	0.22
19981109	0.21
19981110	0.19
19981111	0.47
19981112	0.65
19981113	0.56
19981114	0.22
19981115	0.20
19981116	0.33
19981117	0.47
19981118	0.47
19981119	0.39
19981120	0.42
19981121	0.37
19981122	0.41
19981123	0.49
19981124	0.52
19981125	0.28
19981126	0.46
19981127	0.33
19981128	0.26
19981129	0.47
19981130	0.43
19981201	0.40
19981202	0.42
19981203	0.46
19981204	0.50
19981205	0.49
19981206	0.34
19981207	0.44
19981208	0.45
19981209	0.47
19981210	0.74
19981211	0.72
19981212	0.85
19981213	0.92
19981214	0.69
19981215	0.63
19981216	0.58
19981217	0.73
19981218	0.87
19981219	0.72
19981220	0.78
19981221	0.83
19981222	0.75
19981223	0.82
19981224	0.00
19981225	0.00
19981226	0.00
19981227	0.00
19981228	0.00
19981229	0.04
19981230	0.14
19981231	0.12
19990101	0.10
19990102	0.01
19990103	0.06
19990104	0.06
19990105	0.07
19990106	0.05
19990107	0.07
19990108	0.07
19990109	0.06
19990110	0.06
19990111	0.09
19990112	0.03
19990113	0.51
19990114	0.68
19990115	0.57
19990116	0.03
19990117	0.00
19990118	0.00
19990119	0.01
19990120	0.05
19990121	0.06
19990122	0.02
19990123	0.02
19990124	0.05
